x,y
0.000608,335.3788
0.000194,335.3963
-0.00086,335.2992
-0.000023,335.3697
-0.00056,335.3601
0.000774,335.3847
0.000694,335.3785
0.001568,335.3027
-0.00023,335.366
-0.00052,335.39
0.000776,335.3651
-0.00033,335.3641
0.000654,335.3367
0.000643,335.3704
0.0005,335.376
0.000901,335.3694
-0.00068,335.3476
0.000734,335.3385
0.000861,335.3903
-0.00084,335.3641
-0.00136,335.3853
-0.0005,335.3538
-0.00061,335.4902
0.000584,335.5217
0.000131,335.5332
0.000333,335.5076
-0.001,335.4649
0.001105,335.5139
-0.00042,335.5033
-0.00109,335.5123
0.001315,335.5183
-0.0005,335.4946
0.0000335,335.5229
-0.00031,335.5339
0.000376,335.5058
-0.00069,335.5167
0.000157,335.469
0.000331,335.5183
-0.00052,335.5101
-0.00063,335.5229
0.000825,335.5129
-0.00048,335.5214
0.000526,335.5351
-0.00071,335.5326
-0.00038,335.5245
0.000586,335.5064
0.001004,335.6156
-0.00017,335.6849
-0.00016,335.6643
0.000354,335.6668
-0.00127,335.6028
0.00056,335.6502
0.001167,335.6674
0.000309,335.6712
0.0012,335.6627
0.00000204,335.6175
0.001103,335.6665
0.001588,335.6727
0.000423,335.6992
0.000977,335.653
0.0000432,335.6387
0.00147,335.6655
0.000183,335.6802
0.000595,335.683
0.001163,335.6431
0.000256,335.6668
0.0000125,335.6612
-0.00034,335.6605
-0.00083,335.6864
-0.00048,335.6315
-0.00021,335.7048
-0.00064,335.7042
0.000549,335.7507
0.001648,335.7329
-0.0001,335.6752
0.000378,335.7345
0.000514,335.7454
0.001199,335.7513
0.00046,335.747
-0.0008,335.6761
-0.00012,335.7101
0.000208,335.7519
0.000727,335.7382
0.000751,335.7248
0.000652,335.7204
0.000161,335.7164
-0.000062,335.7454
-0.00121,335.7267
0.002038,335.7176
0.001813,335.7048
0.000247,335.6977
0.000142,335.7488
0.000337,335.7379
-0.000019,335.7295
0.00179,335.8608
-0.00109,335.8786
-0.0003,335.8892
0.000709,335.8671
-0.00071,335.8434
0.001345,335.8633
0.000728,335.8768
0.000141,335.888
0.000438,335.8842
0.000381,335.8574
-0.00049,335.8986
